"zcta5","state","cd114","stab","zipname","pop10","afact"
"ZIP Census Tabulation Area","FIPS state","cd114","State Postal Code","zipname","Total Pop, 2010 census","zcta5 to cd114 alloc factor"
"02081","25","08","MA","Walpole, MA",18383,0.995 
"02090","25","08","MA","Westwood, MA",14636,1 
"02093","25","04","MA","Wrentham, MA",10955,1 
"02108","25","08","MA","Boston, MA",3825,1 
"02109","25","08","MA","Boston, MA",3771,1 
"02110","25","07","MA","Boston, MA",3,0.002 
"02110","25","08","MA","Boston, MA",1730,0.998 
"02111","25","07","MA","Boston, MA",7383,1 
"02113","25","08","MA","Boston, MA",6915,1 
"02114","25","08","MA","Boston, MA",11999,1 
"02115","25","07","MA","Boston, MA",28441,1 
"02116","25","07","MA","Boston, MA",20628,1 
"02118","25","07","MA","Boston, MA",26498,1 
"02119","25","07","MA","Boston, MA",25346,1 
"02120","25","07","MA","Boston, MA",15181,1 
"02121","25","07","MA","Boston, MA",25978,1 
"02122","25","07","MA","Boston, MA",14931,0.636 
"02122","25","08","MA","Boston, MA",8548,0.364 
"02124","25","07","MA","Boston, MA",46191,0.967 
"02124","25","08","MA","Boston, MA",1592,0.033 
"02125","25","07","MA","Boston, MA",21928,0.659 
"02125","25","08","MA","Boston, MA",11367,0.341 
"02126","25","07","MA","Boston, MA",25562,1 
"02127","25","08","MA","Boston, MA",31799,1 
"02128","25","07","MA","Boston, MA",40508,1 
"02129","25","07","MA","Boston, MA",16439,1 
"02130","25","07","MA","Boston, MA",19240,0.543 
"02130","25","08","MA","Boston, MA",16161,0.457 
"02131","25","07","MA","Boston, MA",19632,0.658 
"02131","25","08","MA","Boston, MA",10194,0.342 
"02132","25","07","MA","Boston, MA",2045,0.079 
"02132","25","08","MA","Boston, MA",23816,0.921 
"02134","25","07","MA","Boston, MA",21503,1 
"02135","25","07","MA","Boston, MA",42780,1 
"02136","25","07","MA","Boston, MA",28488,1 
"02138","25","05","MA","Cambridge, MA",35063,0.966 
"02138","25","07","MA","Cambridge, MA",1251,0.034 
